source,pattern,count,examples
web,fs.read_or_secret,275,"page_2, page_3, page_4, page_13, page_14"
web,http.post_or_upload,3436,"page_2, page_3, page_4, page_14, page_18"
web,fs.delete_or_remove,1959,"page_2, page_5, page_15, page_22, page_215"
web,fs.write_or_append,1919,"page_1, new_web_sink_0002, new_web_sink_0007, new_web_sink_0012, new_web_sink_0017"
web,shell.run_or_diagnostic,3734,"page_3, page_4, page_5, page_8, page_13"
web,email.send_or_share,1792,"new_web_sink_0003, new_web_sink_0008, new_web_sink_0013, new_web_sink_0018, new_web_sink_0023"
web,encoded_instruction,70,"page_3, page_11, page_12, page_21, page_39"
web,authority_or_urgency,605,"page_2, page_4, page_5, page_8, page_10"
web,hidden_or_background,16,"page_27, page_28, page_29, page_379, page_448"
web,explicit_multi_hop,3393,"mh_web_result_1, mh_web_hop_2, mh_web_lure_3, long_web_h6_000, long_web_h5_000"
email,fs.read_or_secret,270,"email_1, email_2, email_3, email_9, email_10"
email,http.post_or_upload,2154,"email_1, email_2, email_3, email_9, email_12"
email,fs.delete_or_remove,1376,"email_3, email_83, email_85, email_86, email_87"
email,fs.write_or_append,1253,"scale_email_00000, scale_email_00003, scale_email_00005, scale_email_00007, scale_email_00008"
email,shell.run_or_diagnostic,4264,"email_1, email_2, email_9, email_10, email_11"
email,email.send_or_share,1263,"scale_email_00002, scale_email_00013, scale_email_00015, scale_email_00016, scale_email_00024"
email,encoded_instruction,77,"email_7, email_8, email_32, email_33, email_34"
email,authority_or_urgency,396,"email_1, email_2, email_4, email_9, email_10"
email,hidden_or_background,19,"email_19, email_25, email_26, email_121, email_122"
email,explicit_multi_hop,42,"mh_email_1, mh_email_lure_2, new_email_mid_0000, new_email_mid_0001, new_email_mid_0002"
