candidate_id,surface,fixture_id,attack_family,messages,message_chars,local_status,baseline_version,notes
v6_exfil_0,web,page_0,exfiltration,1,226,generated,v6,Taint-washed exfiltration candidate 0
v6_exfil_1,web,page_1,exfiltration,1,201,generated,v6,Taint-washed exfiltration candidate 1
v6_exfil_2,web,page_2,exfiltration,1,180,generated,v6,Taint-washed exfiltration candidate 2
v6_exfil_3,web,page_3,exfiltration,1,172,generated,v6,Taint-washed exfiltration candidate 3
v6_exfil_4,web,page_4,exfiltration,1,166,generated,v6,Taint-washed exfiltration candidate 4
v6_exfil_5,web,page_5,exfiltration,1,226,generated,v6,Taint-washed exfiltration candidate 5
v6_exfil_6,web,page_6,exfiltration,1,201,generated,v6,Taint-washed exfiltration candidate 6
v6_exfil_7,web,page_7,exfiltration,1,180,generated,v6,Taint-washed exfiltration candidate 7
v6_exfil_8,web,page_8,exfiltration,1,172,generated,v6,Taint-washed exfiltration candidate 8
v6_exfil_9,web,page_9,exfiltration,1,166,generated,v6,Taint-washed exfiltration candidate 9
v6_exfil_10,web,page_10,exfiltration,1,227,generated,v6,Taint-washed exfiltration candidate 10
v6_exfil_11,web,page_11,exfiltration,1,202,generated,v6,Taint-washed exfiltration candidate 11
v6_exfil_12,web,page_12,exfiltration,1,181,generated,v6,Taint-washed exfiltration candidate 12
v6_exfil_13,web,page_13,exfiltration,1,173,generated,v6,Taint-washed exfiltration candidate 13
v6_exfil_14,web,page_14,exfiltration,1,167,generated,v6,Taint-washed exfiltration candidate 14
v6_exfil_15,web,page_15,exfiltration,1,227,generated,v6,Taint-washed exfiltration candidate 15
v6_exfil_16,web,page_16,exfiltration,1,202,generated,v6,Taint-washed exfiltration candidate 16
v6_exfil_17,web,page_17,exfiltration,1,181,generated,v6,Taint-washed exfiltration candidate 17
v6_exfil_18,web,page_18,exfiltration,1,173,generated,v6,Taint-washed exfiltration candidate 18
v6_exfil_19,web,page_19,exfiltration,1,167,generated,v6,Taint-washed exfiltration candidate 19
v6_exfil_20,web,page_20,exfiltration,1,227,generated,v6,Taint-washed exfiltration candidate 20
v6_exfil_21,web,page_21,exfiltration,1,202,generated,v6,Taint-washed exfiltration candidate 21
v6_exfil_22,web,page_22,exfiltration,1,181,generated,v6,Taint-washed exfiltration candidate 22
v6_exfil_23,web,page_23,exfiltration,1,173,generated,v6,Taint-washed exfiltration candidate 23
v6_exfil_24,web,page_24,exfiltration,1,167,generated,v6,Taint-washed exfiltration candidate 24
v6_deputy_0,email,email_0,confused_deputy,1,101,generated,v6,Parameter-matched confused deputy candidate 0
v6_deputy_1,email,email_1,confused_deputy,1,85,generated,v6,Parameter-matched confused deputy candidate 1
v6_deputy_2,email,email_2,confused_deputy,1,89,generated,v6,Parameter-matched confused deputy candidate 2
v6_deputy_3,email,email_3,confused_deputy,1,90,generated,v6,Parameter-matched confused deputy candidate 3
v6_deputy_4,email,email_4,confused_deputy,1,76,generated,v6,Parameter-matched confused deputy candidate 4
v6_deputy_5,email,email_5,confused_deputy,1,101,generated,v6,Parameter-matched confused deputy candidate 5
v6_deputy_6,email,email_6,confused_deputy,1,85,generated,v6,Parameter-matched confused deputy candidate 6
v6_deputy_7,email,email_7,confused_deputy,1,89,generated,v6,Parameter-matched confused deputy candidate 7
v6_deputy_8,email,email_8,confused_deputy,1,90,generated,v6,Parameter-matched confused deputy candidate 8
v6_deputy_9,email,email_9,confused_deputy,1,76,generated,v6,Parameter-matched confused deputy candidate 9
v6_deputy_10,email,email_10,confused_deputy,1,102,generated,v6,Parameter-matched confused deputy candidate 10
v6_deputy_11,email,email_11,confused_deputy,1,86,generated,v6,Parameter-matched confused deputy candidate 11
v6_deputy_12,email,email_12,confused_deputy,1,90,generated,v6,Parameter-matched confused deputy candidate 12
v6_deputy_13,email,email_13,confused_deputy,1,91,generated,v6,Parameter-matched confused deputy candidate 13
v6_deputy_14,email,email_14,confused_deputy,1,77,generated,v6,Parameter-matched confused deputy candidate 14
v6_deputy_15,email,email_15,confused_deputy,1,102,generated,v6,Parameter-matched confused deputy candidate 15
v6_deputy_16,email,email_16,confused_deputy,1,86,generated,v6,Parameter-matched confused deputy candidate 16
v6_deputy_17,email,email_17,confused_deputy,1,90,generated,v6,Parameter-matched confused deputy candidate 17
v6_deputy_18,email,email_18,confused_deputy,1,91,generated,v6,Parameter-matched confused deputy candidate 18
v6_deputy_19,email,email_19,confused_deputy,1,77,generated,v6,Parameter-matched confused deputy candidate 19
v6_deputy_20,email,email_20,confused_deputy,1,102,generated,v6,Parameter-matched confused deputy candidate 20
v6_deputy_21,email,email_21,confused_deputy,1,86,generated,v6,Parameter-matched confused deputy candidate 21
v6_deputy_22,email,email_22,confused_deputy,1,90,generated,v6,Parameter-matched confused deputy candidate 22
v6_deputy_23,email,email_23,confused_deputy,1,91,generated,v6,Parameter-matched confused deputy candidate 23
v6_deputy_24,email,email_24,confused_deputy,1,77,generated,v6,Parameter-matched confused deputy candidate 24
